Model,Train Accuracy,Validation Accuracy,Test Accuracy,Precision (macro),Recall (macro),F1-score (macro),Parameters,Training Time (min),Notes
Custom CNN (VGG-style),0.9759,0.9225,0.915,0.9214,0.915,0.9133,"1,243,940",33.2,"Trained from scratch, no pretrained weights"
EfficientNetB3 (Transfer Learning),0.9395,0.9062,0.925,0.9267,0.925,0.9233,"10,986,931",31.3,"ImageNet pretrained, head + fine-tuning (224x224 input)"
